Rooms,Type,Price,Method,SellerG,Distance,Postcode,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Longtitude,Regionname,Propertycount
2,h,1035000,1,23,2.5,3067,1,0,156,79,1900,31,144.9934,Eastern,4019
3,h,1465000,3,23,2.5,3067,2,0,134,150,1900,31,144.9944,Eastern,4019
4,h,1600000,4,155,2.5,3067,1,2,120,142,2014,31,144.9941,Eastern,4019
3,h,1876000,1,155,2.5,3067,2,0,245,210,1910,31,144.9993,Eastern,4019
2,h,1636000,1,155,2.5,3067,1,2,256,107,1890,31,144.9954,Eastern,4019
2,h,1097000,1,23,2.5,3067,1,2,220,75,1900,31,,Eastern,4019
3,h,1350000,4,155,2.5,3067,2,2,214,190,2005,31,,Eastern,4019
2,p,750000,1,23,2.5,3067,2,1,0,94,2009,31,144.9965,Eastern,4019
2,h,1310000,1,106,2.5,3067,1,2,238,97,1890,31,144.9976,Eastern,4019
3,h,1200000,1,106,2.5,3067,2,1,113,110,1880,31,144.993,Eastern,4019
3,h,1176500,1,117,2.5,3067,1,1,138,105,1890,31,144.9965,Eastern,4019
2,h,890000,1,23,2.5,3067,1,1,150,73,1985,31,145.0004,Eastern,4019
4,h,1330000,0,111,2.5,3067,2,2,780,135,1900,31,144.9952,Eastern,4019
2,p,500000,1,49,2.5,3067,1,1,0,60,1970,31,144.9972,Eastern,4019
2,h,1100000,0,23,2.5,3067,2,1,124,135,2013,31,144.9977,Eastern,4019
2,h,1315000,1,135,2.5,3067,1,0,147,85,1900,31,144.994,Eastern,4019
3,h,1447500,0,155,2.5,3067,3,1,166,174,2012,31,145.0001,Eastern,4019
2,h,1135000,1,155,2.5,3067,2,2,98,128,1920,31,144.9952,Eastern,4019
3,h,1290000,1,23,2.5,3067,1,1,168,124,1950,31,144.9958,Eastern,4019
1,p,470000,1,155,2.5,3067,1,1,0,50,2013,31,144.9961,Eastern,4019
2,h,1180000,1,106,2.5,3067,1,0,162,91,1900,31,144.9956,Eastern,4019
3,h,1195000,3,106,2.5,3067,2,1,120,128,1998,31,144.9954,Eastern,4019
2,h,1012500,1,155,2.5,3067,1,0,182,82,1900,31,144.9976,Eastern,4019
2,h,1030000,1,23,2.5,3067,1,1,172,81,1930,31,144.9946,Eastern,4019
3,r,840000,0,155,13.5,3042,2,1,303,225,2016,21,144.878,Eastern,3464
3,h,730000,4,155,13.5,3042,2,1,0,145,1965,21,144.8755,Eastern,3464
3,h,770000,3,155,13.5,3042,2,1,0,145,1965,21,144.8755,Eastern,3464
2,h,603000,1,155,13.5,3042,1,1,272,84,1950,21,144.888,Eastern,3464
3,r,700000,1,28,13.5,3042,2,2,239,134,2009,21,144.8837,Eastern,3464
3,h,600000,1,133,13.5,3042,1,1,290,116,1980,21,144.8744,Eastern,3464
2,p,500000,4,16,13.5,3042,1,1,168,86,2011,21,144.8864,Eastern,3464
6,h,725000,3,16,13.5,3042,3,2,976,186,1980,21,144.8735,Eastern,3464
2,r,450000,1,16,13.5,3042,1,1,110,90,2015,21,144.871,Eastern,3464
2,p,515000,1,16,13.5,3042,1,1,141,73,2013,21,144.8883,Eastern,3464
2,p,530000,1,155,13.5,3042,1,1,120,94,2012,21,144.8792,Eastern,3464
3,h,895000,0,204,13.5,3042,1,6,1063,133,1975,21,144.8728,Eastern,3464
3,h,805000,1,155,13.5,3042,1,1,0,105,1950,21,144.8783,Eastern,3464
3,p,752000,1,155,13.5,3042,1,1,265,130,1993,21,144.8855,Eastern,3464
3,r,700000,0,28,13.5,3042,2,2,165,133,2009,21,144.887,Eastern,3464
3,h,830000,1,16,13.5,3042,1,2,971,113,1960,21,144.876,Eastern,3464
